RowNumber,ShopID,ShopName,ShopCity,ShopAddress,ShopRating
1,SH00001,Einti,Krosno Odrzańskie,9397 Del Sol Junction,4.22
2,SH00002,Myworks,Llauta,6 Dennis Parkway,4.82
3,SH00003,Eimbee,Itigi,52 Artisan Way,4.72
4,SH00004,Browsecat,Tsibulev,8 Cherokee Place,3.32
5,SH00005,Gabtune,Farroupilha,74146 Kennedy Lane,3.12
6,SH00006,Browsecat,Amaigbo,44919 Norway Maple Parkway,4.02
7,SH00007,Quimm,Fukushima-shi,4025 Rowland Point,4.02
8,SH00008,Zoonder,Rodhítsa,23 Randy Crossing,3.52
9,SH00009,Youfeed,Kovdor,9 Waubesa Park,4.62
10,SH00010,Mynte,Candelaria,0219 Schlimgen Drive,4.82
11,SH00011,Skipstorm,Kalangsari,129 Pleasure Circle,3.22
12,SH00012,Mydeo,Viseu,119 Ohio Trail,4.32
13,SH00013,Dynabox,Xiahan,6015 Portage Plaza,3.72
14,SH00014,Livepath,Shuangqiaoping,928 Redwing Parkway,4.62
15,SH00015,Blogpad,Lāchi,1 Carberry Crossing,3.12
16,SH00016,Trudeo,Mýto,784 Maryland Pass,4.72
17,SH00017,Mynte,Krajan,3216 West Crossing,3.52
18,SH00018,Meevee,Nîmes,75 Russell Trail,3.02
19,SH00019,Meetz,Springbok,28 Macpherson Trail,4.72
20,SH00020,Dabshots,Kuanda,61542 Corben Drive,3.92
21,SH00021,Dynava,Bluri,380 Pine View Hill,4.02
22,SH00022,Twinte,Mayisad,420 Luster Point,3.02
23,SH00023,Dynava,Terangun,5 Northwestern Court,3.72
24,SH00024,Tambee,Naro-Fominsk,95 Banding Parkway,3.12
25,SH00025,Skyble,Bourges,3363 Farwell Court,3.72
26,SH00026,Quaxo,Shiye,4706 Warbler Circle,3.92
27,SH00027,Lajo,Borås,682 Merry Way,4.52
28,SH00028,Edgeclub,Har Nur,7255 Mendota Alley,3.22
29,SH00029,Skynoodle,Xigaoshan,671 Carey Place,4.22
30,SH00030,Oyoba,Jabłoń,83 Mcguire Street,3.22
31,SH00031,Realbridge,Angoulême,4 Elka Way,4.82
32,SH00032,Trudoo,Tasikona,85 Dovetail Junction,3.32
33,SH00033,Livefish,Maguyam,732 Cambridge Park,3.62
34,SH00034,Shufflebeat,Sanjō,28 Warner Place,3.22
35,SH00035,Yakitri,Oslo,25385 Fremont Hill,3.32
36,SH00036,Flipstorm,Fukuoka-shi,6954 Ramsey Plaza,4.82
37,SH00037,Dablist,Santa María del Real,9 Atwood Plaza,3.42
38,SH00038,Flashspan,Thomazeau,45385 Delladonna Street,4.22
39,SH00039,Roombo,Tangjin,2 Sheridan Street,3.72
40,SH00040,Kwinu,Bayan Hure,4 Londonderry Crossing,4.62
41,SH00041,Dynazzy,Saint Petersburg,5830 Jana Road,3.42
42,SH00042,Realbuzz,Linggamanik,1 Pawling Park,4.12
43,SH00043,Skibox,Gaojiazhuang,7352 Lighthouse Bay Circle,3.72
44,SH00044,Babblestorm,Baoshan,18964 Fuller Avenue,3.72
45,SH00045,Pixope,Serdobsk,0691 Pankratz Plaza,4.42
46,SH00046,Eire,Neuquén,4 Menomonie Parkway,4.52
47,SH00047,Aivee,Vaiamonte,92 Homewood Point,4.42
48,SH00048,Kwinu,Al Manşūrah,24725 Porter Point,3.82
49,SH00049,Skynoodle,Whistler,746 Dapin Road,3.02
50,SH00050,Quimm,Júlio de Castilhos,7 2nd Center,4.42
51,SH00051,Oyondu,Baoxia,98 Lotheville Park,4.42
52,SH00052,Skaboo,Luhe,07638 Blackbird Street,4.62
53,SH00053,Mita,Tanlad,2 Oakridge Parkway,4.42
54,SH00054,Rhynoodle,Chãos,8 Eliot Hill,4.32
55,SH00055,Edgeblab,Abonnema,311 Daystar Street,3.72
56,SH00056,Cogidoo,Kungur,636 Mitchell Trail,4.22
57,SH00057,Innojam,Nuoxizhi,454 Stone Corner Court,4.32
58,SH00058,Meevee,Laoshawan,8 Clyde Gallagher Point,3.82
59,SH00059,Zoozzy,Enrile,648 Darwin Way,4.92
60,SH00060,Twitternation,Motygino,48 Dunning Terrace,3.02
61,SH00061,Tazz,Lautoka,975 Darwin Lane,4.12
62,SH00062,Reallinks,Bayt Sīrā,38 Meadow Valley Pass,3.32
63,SH00063,Chatterbridge,Zheleznodorozhnyy,709 Lillian Pass,3.62
64,SH00064,Browseblab,Aix-en-Provence,0387 Oxford Terrace,3.92
65,SH00065,Trunyx,Roma,7717 Sachs Court,3.82
66,SH00066,Einti,Darunban,26 Green Center,3.22
67,SH00067,Oyope,Kuźnia Raciborska,5 Sunbrook Pass,4.82
68,SH00068,Dazzlesphere,Xiaocun,0358 Duke Drive,4.92
69,SH00069,Agivu,Kedrovoye,4844 North Center,4.92
70,SH00070,Avavee,Valdemarsvik,86 Westridge Terrace,3.32
71,SH00071,Voomm,Hongtu,9 Brown Plaza,4.32
72,SH00072,Feedfish,San Antonio,85662 Bonner Parkway,3.62
73,SH00073,Fanoodle,Guyam Malaki,6 Debs Lane,4.62
74,SH00074,Gevee,Santarém,2 Oak Avenue,3.52
75,SH00075,Bluejam,Zahlé,897 Canary Terrace,4.62
76,SH00076,Twitterbridge,Taifu,09476 Warbler Park,3.52
77,SH00077,Wordify,Damanhūr,279 Maywood Lane,3.22
78,SH00078,Kazio,Xiaoguan,3 Lakewood Way,3.62
79,SH00079,Flipstorm,Bairro dos Marinheiros,43 Mariners Cove Lane,4.42
80,SH00080,Abata,Sanjiao,00 Thompson Street,4.22
81,SH00081,Fanoodle,Wilczyce,7099 Village Parkway,4.72
82,SH00082,Zooveo,Changfeng,9070 Blackbird Road,3.92
83,SH00083,Avamba,Kajaani,2 Talisman Hill,4.82
84,SH00084,Wikizz,Xinquansi,3417 Hagan Trail,4.02
85,SH00085,Rhyloo,Hengli,91 Duke Parkway,3.32
86,SH00086,Centizu,Suure-Jaani,8471 Larry Lane,3.62
87,SH00087,Twinder,Numazu,28371 Kennedy Circle,4.42
88,SH00088,Skinder,Taiyuan,489 Bunker Hill Alley,3.92
89,SH00089,Wordtune,Tete,79707 Eggendart Street,4.82
90,SH00090,Tagopia,Carlos Tejedor,24 Huxley Plaza,4.62
91,SH00091,Kazu,Lagawe,28 Dorton Way,4.52
92,SH00092,Muxo,Sośnie,17770 Garrison Street,4.32
93,SH00093,Miboo,Qobustan,5145 Manley Point,3.12
94,SH00094,Babbleblab,Comillas Norte,67 Bonner Junction,3.52
95,SH00095,Jabbertype,Renshan,175 Mcguire Street,3.62
96,SH00096,Realpoint,Domalanoan,5 Raven Hill,3.12
97,SH00097,Eidel,Ciomas,0902 Harper Circle,4.52
98,SH00098,Realbuzz,Örnsköldsvik,14 Hanson Parkway,3.32
99,SH00099,Flipstorm,Palmasola,9879 1st Street,4.82
100,SH00100,Rhynyx,Mirebalais,0352 Maryland Road,3.92
101,SH00101,Kwilith,Kanlagay,52 Schiller Terrace,4.22
102,SH00102,Chatterpoint,Yanas,0311 Helena Hill,4.72
103,SH00103,Meeveo,Gálvez,738 Cordelia Street,4.22
104,SH00104,Innotype,Huazhou,9182 Jackson Pass,4.62
105,SH00105,Trunyx,Cagayan,201 Canary Circle,3.22
106,SH00106,Layo,Moscow,868 Dawn Drive,4.72
107,SH00107,Skaboo,Khust,51 Shelley Avenue,3.12
108,SH00108,Thoughtblab,Monte Patria,2118 Helena Lane,3.62
109,SH00109,Snaptags,Al Misrākh,225 Merrick Park,3.42
110,SH00110,Livetube,Ostrów Lubelski,8392 Stuart Crossing,3.22
111,SH00111,Fiveclub,Bobadela,52 Buhler Circle,3.72
112,SH00112,Gabspot,Klobuky,74 Graedel Plaza,3.52
113,SH00113,Chatterpoint,Erling,27 Corben Center,4.32
114,SH00114,Thoughtblab,Odivelas,45 Sycamore Park,4.12
115,SH00115,Ntag,Vạn Giã,9 Anniversary Parkway,3.22
116,SH00116,Flashpoint,Chardonnière,952 Pearson Way,4.92
117,SH00117,Voonix,Pamedilan,1 Northfield Trail,3.02
118,SH00118,Buzzster,Armopa,51276 Oneill Park,3.82
119,SH00119,Voonte,Orlando,587 Dahle Point,3.92
120,SH00120,Topiczoom,Dayr Dibwān,9623 Artisan Way,3.12
121,SH00121,Vinder,Liuxiang,14 Hintze Lane,3.32
122,SH00122,Bubblemix,Dankama,5328 Ohio Court,4.72
123,SH00123,Reallinks,Rennes,63 Judy Hill,4.12
124,SH00124,Abatz,Yixingfu,624 Summit Road,3.02
125,SH00125,Fivechat,Severomorsk,3 Bay Center,3.32
126,SH00126,Zava,Caratinga,303 Bowman Plaza,3.82
127,SH00127,Chatterpoint,Novi Itebej,127 Coleman Terrace,4.92
128,SH00128,Shufflester,Bunut,8 Tony Park,4.02
129,SH00129,Kwimbee,Curahklapa,774 Havey Alley,4.42
130,SH00130,Jazzy,Tongjing,46 Canary Crossing,4.92
131,SH00131,Realpoint,Waepana,4298 Declaration Avenue,4.02
132,SH00132,Wordtune,Mikstat,74962 Sunbrook Street,3.22
133,SH00133,Livetube,Shanmu,31135 Monument Trail,4.22
134,SH00134,Tagpad,Yotsukaidō,0 Acker Center,4.72
135,SH00135,Jayo,Divjakë,88471 Westend Alley,4.22
136,SH00136,Zoozzy,Sidi Smaïl,968 Roxbury Court,4.12
137,SH00137,Twitterbeat,Nanshao,49190 Di Loreto Lane,3.32
138,SH00138,Flashdog,Rakhmanovo,671 Towne Crossing,4.72
139,SH00139,Quimba,Fangzheng,0483 Lukken Circle,4.52
140,SH00140,Wikizz,Jatisari,430 Novick Center,4.62
141,SH00141,Flashspan,Knoxville,0 Beilfuss Park,4.02
142,SH00142,Brightbean,Pepe,07965 Stuart Parkway,4.02
143,SH00143,Ozu,Huanghuai,77 Dottie Lane,4.82
144,SH00144,Quamba,Vahdat,25 Fair Oaks Street,3.42
145,SH00145,Realfire,Ashchysay,8 Ridgeview Junction,4.22
146,SH00146,Skajo,Shigu,045 Thompson Crossing,3.52
147,SH00147,Avamm,Ke’erlun,65221 Knutson Crossing,3.82
148,SH00148,Skilith,Songmuping,4 Park Meadow Avenue,3.12
149,SH00149,Yombu,Kirgili,076 Mesta Pass,3.22
150,SH00150,Kwilith,Fenhe,701 Green Street,4.52
151,SH00151,Skimia,Zhonglong,40 Norway Maple Center,3.42
152,SH00152,Zoomzone,Yanling,9 Anthes Parkway,4.82
153,SH00153,Kaymbo,Catabola,5683 Waubesa Way,3.62
154,SH00154,Bubbletube,Ignalina,16677 8th Hill,4.02
155,SH00155,Lajo,Fentange,50 Columbus Way,3.02
156,SH00156,Realbridge,København,92063 Del Mar Point,3.02
157,SH00157,Trupe,Haridimun,78088 Florence Junction,3.32
158,SH00158,Demivee,Xiaohekou,2496 Toban Drive,4.82
159,SH00159,Shuffletag,Muraloka,16298 Fisk Place,3.02
160,SH00160,Photolist,Laau,46 Troy Park,4.92
161,SH00161,Tekfly,Sępopol,81706 Shelley Point,3.52
162,SH00162,Twinte,Täby,3593 Nelson Trail,3.12
163,SH00163,Tanoodle,Uppsala,72 Butternut Hill,3.42
164,SH00164,Yodoo,Jianguang,552 Anniversary Pass,3.92
165,SH00165,Eamia,Sundumbili,02630 Tennessee Plaza,4.32
166,SH00166,Twitterbridge,Al Jaghbūb,754 Golf Course Place,3.62
167,SH00167,Jabbersphere,Verdizela,83 Rowland Drive,4.22
168,SH00168,Meemm,Burgos,618 Vermont Road,4.42
169,SH00169,Rhybox,Carson City,49353 Waubesa Plaza,4.12
