TimeID,Date,Day,Month,Quarter,Year,IsWeekend
1,2019-01-01,1,1,1,2019,FALSE
2,2019-01-02,2,1,1,2019,FALSE
3,2019-01-03,3,1,1,2019,FALSE
4,2019-01-04,4,1,1,2019,FALSE
5,2019-01-05,5,1,1,2019,TRUE
6,2019-01-06,6,1,1,2019,TRUE
7,2019-01-07,7,1,1,2019,FALSE
8,2019-01-08,8,1,1,2019,FALSE
9,2019-01-09,9,1,1,2019,FALSE
10,2019-01-10,10,1,1,2019,FALSE
11,2019-01-11,11,1,1,2019,FALSE
12,2019-01-12,12,1,1,2019,TRUE
13,2019-01-13,13,1,1,2019,TRUE
14,2019-01-14,14,1,1,2019,FALSE
15,2019-01-15,15,1,1,2019,FALSE
16,2019-01-16,16,1,1,2019,FALSE
17,2019-01-17,17,1,1,2019,FALSE
18,2019-01-18,18,1,1,2019,FALSE
19,2019-01-19,19,1,1,2019,TRUE
20,2019-01-20,20,1,1,2019,TRUE
21,2019-01-21,21,1,1,2019,FALSE
22,2019-01-22,22,1,1,2019,FALSE
23,2019-01-23,23,1,1,2019,FALSE
24,2019-01-24,24,1,1,2019,FALSE
25,2019-01-25,25,1,1,2019,FALSE
26,2019-01-26,26,1,1,2019,TRUE
27,2019-01-27,27,1,1,2019,TRUE
28,2019-01-28,28,1,1,2019,FALSE
29,2019-01-29,29,1,1,2019,FALSE
30,2019-01-30,30,1,1,2019,FALSE
31,2019-01-31,31,1,1,2019,FALSE
32,2019-02-01,1,2,1,2019,FALSE
33,2019-02-02,2,2,1,2019,TRUE
34,2019-02-03,3,2,1,2019,TRUE
35,2019-02-04,4,2,1,2019,FALSE
36,2019-02-05,5,2,1,2019,FALSE
37,2019-02-06,6,2,1,2019,FALSE
38,2019-02-07,7,2,1,2019,FALSE
39,2019-02-08,8,2,1,2019,FALSE
40,2019-02-09,9,2,1,2019,TRUE
41,2019-02-10,10,2,1,2019,TRUE
42,2019-02-11,11,2,1,2019,FALSE
43,2019-02-12,12,2,1,2019,FALSE
44,2019-02-13,13,2,1,2019,FALSE
45,2019-02-14,14,2,1,2019,FALSE
46,2019-02-15,15,2,1,2019,FALSE
47,2019-02-16,16,2,1,2019,TRUE
48,2019-02-17,17,2,1,2019,TRUE
49,2019-02-18,18,2,1,2019,FALSE
50,2019-02-19,19,2,1,2019,FALSE
51,2019-02-20,20,2,1,2019,FALSE
52,2019-02-21,21,2,1,2019,FALSE
53,2019-02-22,22,2,1,2019,FALSE
54,2019-02-23,23,2,1,2019,TRUE
55,2019-02-24,24,2,1,2019,TRUE
56,2019-02-25,25,2,1,2019,FALSE
57,2019-02-26,26,2,1,2019,FALSE
58,2019-02-27,27,2,1,2019,FALSE
