PurchaseID,ProductID,Quantity
PU00001,PR00246,11
PU00001,PR00277,22
PU00001,PR00288,12
PU00001,PR00338,47
PU00001,PR00408,3
PU00001,PR00433,38
PU00001,PR00467,8
PU00001,PR00598,7
PU00001,PR00603,21
PU00001,PR00737,18
PU00001,PR00763,3
PU00001,PR00772,39
PU00001,PR00871,24
PU00001,PR00956,6
PU00002,PR00171,28
PU00002,PR00193,29
PU00002,PR00257,34
PU00002,PR00298,6
PU00002,PR00405,26
PU00002,PR00462,39
PU00002,PR00463,48
PU00002,PR00489,26
PU00002,PR00561,41
PU00002,PR00693,35
PU00002,PR00803,40
PU00002,PR00819,17
PU00002,PR00896,31
PU00002,PR00907,5
PU00002,PR00959,4
PU00003,PR00009,10
PU00003,PR00023,6
PU00003,PR00035,35
PU00003,PR00133,22
PU00003,PR00161,41
PU00003,PR00308,48
PU00003,PR00333,36
PU00003,PR00412,23
PU00003,PR00467,16
PU00003,PR00481,3
PU00003,PR00671,32
PU00003,PR00676,41
PU00003,PR00680,22
PU00003,PR00724,29
PU00003,PR00743,28
PU00003,PR00838,39
PU00003,PR00886,27
PU00003,PR00975,38
PU00004,PR00065,8
PU00004,PR00265,35
PU00004,PR00436,10
PU00004,PR00450,10
PU00004,PR00546,9
PU00004,PR00672,27
PU00004,PR00686,2
PU00004,PR00712,37
PU00004,PR00845,1
PU00004,PR00964,6
PU00005,PR00090,45
PU00005,PR00110,38
PU00005,PR00215,23
PU00005,PR00276,28
PU00005,PR00282,14
PU00005,PR00300,31
PU00005,PR00334,7
PU00005,PR00462,49
PU00005,PR00501,48
PU00005,PR00564,35
PU00005,PR00580,49
PU00005,PR00642,30
PU00005,PR00804,3
PU00005,PR00822,1
PU00005,PR00879,47
PU00005,PR00905,44
PU00005,PR00913,46
PU00005,PR00941,33
PU00005,PR00970,6
PU00005,PR00973,1
PU00006,PR00002,7
PU00006,PR00021,23
PU00006,PR00035,16
PU00006,PR00142,13
PU00006,PR00156,27
PU00006,PR00170,33
PU00006,PR00214,39
PU00006,PR00296,19
PU00006,PR00344,27
PU00006,PR00375,40
PU00006,PR00387,3
PU00006,PR00553,8
PU00006,PR00585,24
PU00006,PR00636,8
PU00006,PR00665,31
PU00006,PR00869,5
PU00006,PR00933,6
PU00006,PR00970,1
PU00007,PR00104,31
PU00007,PR00228,31
PU00007,PR00350,30
PU00007,PR00354,46
PU00007,PR00371,15
PU00007,PR00389,47
PU00007,PR00392,50
PU00007,PR00446,15
PU00007,PR00559,12
PU00007,PR00597,31
PU00007,PR00675,42
PU00007,PR00793,21
PU00007,PR00826,48
PU00008,PR00041,31
PU00008,PR00131,45
PU00008,PR00295,8
PU00008,PR00312,2
PU00008,PR00317,36
PU00008,PR00483,19
PU00008,PR00584,29
PU00008,PR00611,37
PU00008,PR00701,7
PU00008,PR00750,10
PU00008,PR00766,39
PU00008,PR00833,16
PU00008,PR00913,36
PU00008,PR00914,21
PU00009,PR00002,40
PU00009,PR00027,49
PU00009,PR00044,37
PU00009,PR00228,2
PU00009,PR00281,20
PU00009,PR00303,48
PU00009,PR00340,33
PU00009,PR00346,24
PU00009,PR00380,28
PU00009,PR00515,25
PU00009,PR00732,14
PU00009,PR00734,39
PU00009,PR00753,33
PU00009,PR00900,40
PU00009,PR00948,13
PU00010,PR00194,50
PU00010,PR00225,39
PU00010,PR00245,16
PU00010,PR00250,43
PU00010,PR00419,5
PU00010,PR00512,17
PU00010,PR00527,2
PU00010,PR00573,33
PU00010,PR00711,42
PU00010,PR00733,16
PU00010,PR00823,8
PU00010,PR00873,6
PU00010,PR00913,48
PU00010,PR00940,37
PU00011,PR00011,45
PU00011,PR00095,39
PU00011,PR00115,42
PU00011,PR00148,28
PU00011,PR00265,23
PU00011,PR00373,21
PU00011,PR00513,19
PU00011,PR00597,4
PU00011,PR00745,25
PU00011,PR00823,49
PU00011,PR00830,28
PU00012,PR00051,14
PU00012,PR00085,28
PU00012,PR00124,2
PU00012,PR00126,38
PU00012,PR00244,18
PU00012,PR00257,32
PU00012,PR00285,28
PU00012,PR00298,40
PU00012,PR00337,43
PU00012,PR00341,42
PU00012,PR00349,46
PU00012,PR00357,33
PU00012,PR00474,20
PU00012,PR00533,7
PU00012,PR00567,45
PU00012,PR00583,19
PU00012,PR00692,3
PU00012,PR00844,1
PU00012,PR00942,14
PU00013,PR00021,40
PU00013,PR00110,5
PU00013,PR00141,15
PU00013,PR00326,43
PU00013,PR00386,29
PU00013,PR00441,46
PU00013,PR00452,36
PU00013,PR00519,44
PU00013,PR00589,42
PU00013,PR00720,21
PU00013,PR00753,6
PU00013,PR00832,21
PU00013,PR00841,19
PU00013,PR00853,28
PU00013,PR00952,31
PU00013,PR00996,23
PU00014,PR00063,34
PU00014,PR00171,36
PU00014,PR00213,21
PU00014,PR00341,34
PU00014,PR00350,3
PU00014,PR00357,50
PU00014,PR00371,20
PU00014,PR00391,41
PU00014,PR00508,41
PU00014,PR00547,1
PU00014,PR00690,3
PU00014,PR00703,4
PU00014,PR00719,6
PU00014,PR00733,16
PU00014,PR00853,4
PU00014,PR00939,4
PU00015,PR00002,46
PU00015,PR00043,48
PU00015,PR00088,29
PU00015,PR00103,34
PU00015,PR00105,32
PU00015,PR00251,12
PU00015,PR00330,35
PU00015,PR00452,32
PU00015,PR00738,15
PU00015,PR00922,32
PU00015,PR00943,17
PU00015,PR00955,10
PU00016,PR00109,50
PU00016,PR00165,6
PU00016,PR00208,20
PU00016,PR00303,40
PU00016,PR00378,23
PU00016,PR00386,41
PU00016,PR00429,13
PU00016,PR00563,19
PU00016,PR00595,5
PU00016,PR00608,16
PU00016,PR00627,40
PU00016,PR00647,15
PU00016,PR00683,10
PU00016,PR00698,40
PU00016,PR00743,14
PU00016,PR00814,39
PU00016,PR00832,27
PU00016,PR00878,23
PU00017,PR00051,31
PU00017,PR00077,30
PU00017,PR00103,18
PU00017,PR00147,44
PU00017,PR00159,32
PU00017,PR00478,2
PU00017,PR00554,28
PU00017,PR00787,22
PU00017,PR00802,45
PU00017,PR00849,42
PU00017,PR00939,21
PU00017,PR00954,22
PU00018,PR00142,47
PU00018,PR00164,7
PU00018,PR00283,7
PU00018,PR00288,14
PU00018,PR00368,22
PU00018,PR00376,6
PU00018,PR00392,9
PU00018,PR00439,20
PU00018,PR00470,6
PU00018,PR00477,39
PU00018,PR00511,24
PU00018,PR00525,5
PU00018,PR00559,38
PU00018,PR00569,13
PU00018,PR00734,48
PU00018,PR00737,47
PU00018,PR00792,13
PU00018,PR00847,27
PU00018,PR00876,46
PU00018,PR00901,7
PU00018,PR00939,13
PU00019,PR00008,1
PU00019,PR00010,26
PU00019,PR00011,19
PU00019,PR00114,9
PU00019,PR00150,25
PU00019,PR00209,38
PU00019,PR00326,28
PU00019,PR00390,6
PU00019,PR00466,35
PU00019,PR00555,24
PU00019,PR00558,40
PU00019,PR00573,44
PU00019,PR00592,41
PU00019,PR00601,26
PU00019,PR00653,1
PU00019,PR00676,26
PU00019,PR00860,47
PU00019,PR00883,18
PU00019,PR00915,49
PU00019,PR00949,49
PU00020,PR00053,36
PU00020,PR00182,21
PU00020,PR00306,6
PU00020,PR00331,17
PU00020,PR00337,35
PU00020,PR00513,7
PU00020,PR00572,39
PU00020,PR00738,46
PU00020,PR00834,22
PU00020,PR00938,37
PU00021,PR00016,10
PU00021,PR00074,23
PU00021,PR00128,11
PU00021,PR00300,24
PU00021,PR00316,44
PU00021,PR00364,41
PU00021,PR00503,42
PU00021,PR00548,27
PU00021,PR00580,1
PU00021,PR00581,49
PU00021,PR00769,44
PU00021,PR00807,50
PU00021,PR00834,9
PU00021,PR00914,37
PU00022,PR00039,30
PU00022,PR00121,47
PU00022,PR00123,20
PU00022,PR00174,20
PU00022,PR00185,25
PU00022,PR00444,9
PU00022,PR00454,47
PU00022,PR00513,33
PU00022,PR00545,8
PU00022,PR00601,3
PU00022,PR00607,31
PU00022,PR00706,28
PU00022,PR00738,17
PU00022,PR00745,39
PU00022,PR00771,23
PU00022,PR00895,7
PU00023,PR00040,15
PU00023,PR00060,31
PU00023,PR00077,6
PU00023,PR00115,32
PU00023,PR00163,25
PU00023,PR00184,47
PU00023,PR00186,20
PU00023,PR00368,48
PU00023,PR00473,15
PU00023,PR00511,33
PU00023,PR00513,24
PU00023,PR00517,46
PU00023,PR00568,2
PU00023,PR00648,5
PU00023,PR00696,50
PU00023,PR00719,32
PU00023,PR00781,33
PU00023,PR00865,7
PU00023,PR00894,32
PU00023,PR00900,35
PU00023,PR00914,9
PU00023,PR00951,24
PU00023,PR00998,4
PU00024,PR00015,11
PU00024,PR00066,45
PU00024,PR00092,48
PU00024,PR00116,7
PU00024,PR00124,34
PU00024,PR00227,12
PU00024,PR00345,25
PU00024,PR00360,30
PU00024,PR00422,38
PU00024,PR00460,23
PU00024,PR00467,38
PU00024,PR00482,31
PU00024,PR00501,3
PU00024,PR00517,25
PU00024,PR00556,41
PU00024,PR00575,1
PU00024,PR00661,30
PU00024,PR00746,36
PU00024,PR00771,42
PU00024,PR00783,44
PU00024,PR00788,17
PU00024,PR00895,36
PU00024,PR00908,8
PU00025,PR00057,25
PU00025,PR00080,14
PU00025,PR00151,23
PU00025,PR00186,35
PU00025,PR00210,7
PU00025,PR00237,19
PU00025,PR00336,49
PU00025,PR00351,45
PU00025,PR00396,8
PU00025,PR00556,39
PU00025,PR00599,38
PU00025,PR00606,1
PU00025,PR00656,18
PU00025,PR00672,1
PU00025,PR00746,10
PU00025,PR00798,49
PU00025,PR00815,8
PU00025,PR00879,20
PU00025,PR00895,14
PU00025,PR00900,6
PU00025,PR00972,14
PU00025,PR00973,10
PU00026,PR00003,1
PU00026,PR00025,4
PU00026,PR00058,41
PU00026,PR00103,41
PU00026,PR00304,3
PU00026,PR00313,2
PU00026,PR00439,37
PU00026,PR00474,8
PU00026,PR00643,25
PU00026,PR00687,32
PU00026,PR00696,48
PU00026,PR00798,47
PU00026,PR00849,16
PU00026,PR00992,41
PU00027,PR00045,5
PU00027,PR00129,15
PU00027,PR00135,14
PU00027,PR00241,3
PU00027,PR00284,25
PU00027,PR00326,45
PU00027,PR00343,30
PU00027,PR00367,29
PU00027,PR00405,2
PU00027,PR00506,50
PU00027,PR00647,26
PU00027,PR00765,23
PU00027,PR00850,22
PU00027,PR00863,15
PU00028,PR00214,4
PU00028,PR00242,49
PU00028,PR00390,17
PU00028,PR00615,31
PU00028,PR00618,48
PU00028,PR00651,48
PU00028,PR00787,19
PU00029,PR00008,44
PU00029,PR00161,38
PU00029,PR00169,4
PU00029,PR00253,45
PU00029,PR00258,3
PU00029,PR00482,23
PU00029,PR00553,46
PU00029,PR00601,1
PU00029,PR00656,44
PU00029,PR00831,5
PU00029,PR00865,7
PU00030,PR00082,25
PU00030,PR00088,40
PU00030,PR00104,46
PU00030,PR00116,6
PU00030,PR00198,15
PU00030,PR00201,19
PU00030,PR00348,19
PU00030,PR00432,1
PU00030,PR00714,7
PU00030,PR00821,12
PU00030,PR00913,8
PU00030,PR00918,3
PU00030,PR00927,40
PU00030,PR00949,36
PU00030,PR00987,4
PU00031,PR00052,32
PU00031,PR00083,17
PU00031,PR00155,37
PU00031,PR00325,46
PU00031,PR00384,33
PU00031,PR00553,6
PU00031,PR00674,21
PU00031,PR00748,43
PU00031,PR00795,34
PU00031,PR00830,49
PU00032,PR00085,9
PU00032,PR00275,39
PU00032,PR00293,48
PU00032,PR00410,9
PU00032,PR00419,47
PU00032,PR00431,27
PU00032,PR00474,22
PU00032,PR00657,23
PU00032,PR00660,40
PU00032,PR00704,23
PU00032,PR00782,5
PU00032,PR00789,17
PU00032,PR01000,30
PU00033,PR00071,4
PU00033,PR00091,4
PU00033,PR00140,39
PU00033,PR00151,32
PU00033,PR00152,10
PU00033,PR00227,27
PU00033,PR00358,28
PU00033,PR00424,35
PU00033,PR00432,13
PU00033,PR00501,29
PU00033,PR00503,45
PU00033,PR00565,45
PU00033,PR00570,17
PU00033,PR00743,40
PU00033,PR00772,13
PU00033,PR00831,11
PU00033,PR00841,29
PU00033,PR00853,45
PU00033,PR00928,3
PU00033,PR00952,20
PU00034,PR00013,46
PU00034,PR00025,24
PU00034,PR00031,3
PU00034,PR00117,48
PU00034,PR00163,25
PU00034,PR00203,6
PU00034,PR00400,34
PU00034,PR00438,5
PU00034,PR00519,42
PU00034,PR00620,3
PU00034,PR00664,4
PU00034,PR00747,16
PU00034,PR00784,13
PU00034,PR00790,6
PU00035,PR00125,13
PU00035,PR00129,19
PU00035,PR00145,20
PU00035,PR00330,49
PU00035,PR00399,18
PU00035,PR00440,30
PU00035,PR00461,36
PU00035,PR00567,42
PU00035,PR00603,31
PU00035,PR00622,26
PU00035,PR00747,46
PU00035,PR00838,6
PU00035,PR00889,28
PU00035,PR00980,33
PU00036,PR00130,19
PU00036,PR00161,17
PU00036,PR00195,6
PU00036,PR00308,18
PU00036,PR00439,40
PU00036,PR00469,30
PU00036,PR00497,41
PU00036,PR00502,19
PU00036,PR00508,31
PU00036,PR00814,50
PU00036,PR00858,7
PU00036,PR00868,18
PU00036,PR00939,9
PU00036,PR00968,2
PU00037,PR00030,12
PU00037,PR00034,40
PU00037,PR00144,46
PU00037,PR00250,10
PU00037,PR00276,18
PU00037,PR00282,5
PU00037,PR00527,41
PU00037,PR00592,45
PU00037,PR00618,16
PU00037,PR00644,17
PU00037,PR00650,10
PU00037,PR00762,22
PU00037,PR00776,16
PU00037,PR00844,37
PU00037,PR00884,33
PU00038,PR00009,3
PU00038,PR00066,24
PU00038,PR00094,37
PU00038,PR00095,27
PU00038,PR00110,41
PU00038,PR00269,10
PU00038,PR00365,9
PU00038,PR00387,44
PU00038,PR00397,45
PU00038,PR00476,16
PU00038,PR00644,31
PU00038,PR00649,40
PU00038,PR00842,49
PU00038,PR00908,43
PU00039,PR00019,43
PU00039,PR00237,8
PU00039,PR00259,49
PU00039,PR00275,28
PU00039,PR00438,7
PU00039,PR00442,39
PU00039,PR00471,27
PU00039,PR00490,26
PU00039,PR00505,18
PU00039,PR00591,33
PU00039,PR00608,5
PU00039,PR00619,49
PU00039,PR00641,17
PU00039,PR00675,14
PU00039,PR00743,47
PU00039,PR00750,40
PU00039,PR00791,44
PU00039,PR00812,48
PU00039,PR00819,37
PU00039,PR00825,7
PU00039,PR00913,30
PU00039,PR00922,34
PU00039,PR00957,33
PU00039,PR00968,6
PU00039,PR00974,40
PU00039,PR00976,24
PU00040,PR00021,47
PU00040,PR00028,22
PU00040,PR00088,49
PU00040,PR00123,25
PU00040,PR00125,46
PU00040,PR00175,50
PU00040,PR00345,8
PU00040,PR00349,8
PU00040,PR00484,44
PU00040,PR00613,17
PU00040,PR00644,28
PU00040,PR00689,47
PU00040,PR00731,37
PU00040,PR00788,1
PU00040,PR00812,27
PU00040,PR00823,18
PU00040,PR00854,25
PU00040,PR00888,45
PU00040,PR00895,7
PU00040,PR00914,11
PU00041,PR00099,30
PU00041,PR00107,7
PU00041,PR00131,2
PU00041,PR00283,38
PU00041,PR00336,2
PU00041,PR00530,12
PU00041,PR00572,32
PU00041,PR00574,47
PU00041,PR00624,35
PU00041,PR00656,45
PU00041,PR00672,31
PU00041,PR00682,39
PU00041,PR00745,33
PU00041,PR00759,15
PU00041,PR00867,14
PU00041,PR00952,28
PU00041,PR00981,1
PU00042,PR00033,45
PU00042,PR00063,28
PU00042,PR00146,28
PU00042,PR00242,3
PU00042,PR00253,7
PU00042,PR00292,44
PU00042,PR00307,29
PU00042,PR00323,33
PU00042,PR00357,4
PU00042,PR00390,12
PU00042,PR00391,5
PU00042,PR00445,45
PU00042,PR00472,36
PU00042,PR00482,24
PU00042,PR00497,17
PU00042,PR00551,32
PU00042,PR00570,16
PU00042,PR00594,45
PU00042,PR00596,11
PU00042,PR00622,18
PU00042,PR00640,33
PU00042,PR00733,28
PU00042,PR00819,15
PU00042,PR00826,45
PU00042,PR00850,11
PU00043,PR00064,6
PU00043,PR00094,48
PU00043,PR00105,18
PU00043,PR00184,38
PU00043,PR00301,20
PU00043,PR00326,30
PU00043,PR00482,45
PU00043,PR00604,22
PU00043,PR00687,46
PU00043,PR00688,48
PU00043,PR00717,22
