PurchaseID,ShopID,UserID,PurchaseDate
PU00001,SH00231,SU00696,2020-05-16
PU00002,SH00864,SU00229,2021-02-09
PU00003,SH00356,SU00077,2019-02-25
PU00004,SH00213,SU00429,2020-06-21
PU00005,SH00982,SU00693,2021-01-17
PU00006,SH00246,SU00099,2020-05-14
PU00007,SH00639,SU00003,2019-08-19
PU00008,SH00732,SU00473,2020-08-11
PU00009,SH00082,SU00396,2019-03-13
PU00010,SH00390,SU00746,2019-07-27
PU00011,SH00543,SU00327,2019-02-27
PU00012,SH00821,SU00821,2020-07-29
PU00013,SH00894,SU00631,2019-09-27
PU00014,SH00735,SU00724,2020-12-13
PU00015,SH00066,SU00314,2019-09-25
PU00016,SH00031,SU00985,2019-10-14
PU00017,SH00667,SU00400,2020-06-20
PU00018,SH00874,SU00097,2020-02-10
PU00019,SH00457,SU00304,2021-03-11
PU00020,SH00190,SU00195,2019-03-18
PU00021,SH00704,SU00470,2020-08-02
PU00022,SH00301,SU00985,2019-05-04
PU00023,SH00590,SU00242,2019-02-03
PU00024,SH00765,SU00748,2020-10-13
PU00025,SH00457,SU00256,2019-04-01
PU00026,SH00249,SU00909,2020-05-28
PU00027,SH00550,SU00651,2021-05-24
PU00028,SH00569,SU00378,2021-01-06
PU00029,SH00660,SU00499,2020-09-07
PU00030,SH00220,SU00825,2019-10-14
PU00031,SH00124,SU00199,2019-10-04
PU00032,SH00265,SU00115,2019-01-12
PU00033,SH00349,SU00934,2019-07-20
PU00034,SH00282,SU00973,2019-08-15
PU00035,SH00140,SU00623,2020-05-10
PU00036,SH00589,SU00087,2020-04-07
PU00037,SH00649,SU00395,2019-06-09
PU00038,SH00248,SU00627,2019-10-24
PU00039,SH00118,SU00921,2019-04-16
PU00040,SH00215,SU00733,2019-08-18
PU00041,SH00847,SU00572,2020-07-03
PU00042,SH00567,SU00072,2019-11-08
PU00043,SH00578,SU00731,2019-09-27
PU00044,SH00145,SU00313,2019-10-27
PU00045,SH00110,SU00138,2021-01-26
PU00046,SH00728,SU00348,2021-02-16
PU00047,SH00908,SU00523,2019-11-17
PU00048,SH00990,SU00055,2019-11-05
PU00049,SH00349,SU00595,2019-05-30
PU00050,SH00700,SU00083,2019-03-02
PU00051,SH00756,SU00962,2019-06-05
PU00052,SH00973,SU00770,2020-09-29
PU00053,SH00055,SU00847,2019-08-24
PU00054,SH00810,SU00809,2019-04-02
PU00055,SH00331,SU00086,2020-05-25
PU00056,SH00863,SU00218,2020-02-11
PU00057,SH00377,SU00278,2020-03-29
PU00058,SH00584,SU00747,2021-01-03
PU00059,SH00010,SU00418,2020-05-05
PU00060,SH00199,SU00140,2019-11-16
PU00061,SH00025,SU00826,2021-01-14
PU00062,SH00094,SU00947,2021-01-22
PU00063,SH00868,SU00051,2020-03-12
PU00064,SH00332,SU00068,2019-02-17
PU00065,SH00684,SU00543,2020-07-09
PU00066,SH00311,SU00707,2019-04-29
PU00067,SH00110,SU00411,2021-05-11
PU00068,SH00147,SU00625,2020-11-30
PU00069,SH00997,SU00227,2019-12-13
PU00070,SH00288,SU00636,2020-07-06
PU00071,SH00645,SU00231,2021-03-25
PU00072,SH00688,SU00736,2019-07-21
PU00073,SH00907,SU00561,2021-01-15
PU00074,SH00703,SU00227,2019-11-12
PU00075,SH00852,SU00958,2020-09-27
PU00076,SH00781,SU00974,2020-01-10
PU00077,SH00310,SU00241,2019-09-06
PU00078,SH00716,SU00108,2020-02-02
PU00079,SH00092,SU00173,2019-05-12
PU00080,SH00257,SU00421,2020-03-16
PU00081,SH00779,SU00991,2020-12-10
PU00082,SH00417,SU00052,2019-06-20
PU00083,SH00034,SU00746,2021-03-26
PU00084,SH00396,SU00650,2021-04-11
PU00085,SH00278,SU00606,2020-12-25
PU00086,SH00782,SU00025,2019-04-14
PU00087,SH00844,SU00793,2020-12-20
PU00088,SH00703,SU00040,2019-08-06
PU00089,SH00187,SU00682,2020-02-26
PU00090,SH00822,SU00702,2021-05-20
PU00091,SH00648,SU00524,2020-05-16
PU00092,SH00051,SU00434,2019-11-22
PU00093,SH00649,SU00916,2019-01-14
PU00094,SH00888,SU00034,2020-04-14
PU00095,SH00647,SU00240,2019-05-30
PU00096,SH00312,SU00069,2019-12-13
PU00097,SH00670,SU00046,2019-12-26
PU00098,SH00913,SU00824,2020-03-26
PU00099,SH00358,SU00846,2019-10-18
PU00100,SH00643,SU00574,2019-12-18
PU00101,SH00153,SU00579,2021-05-05
